timestamp,sensor_id,region,vehicle_count,temperature_c,rain,social_event,bus_delay_minutes,avg_speed_kmh
2025-01-01 00:00:00,103,Messejana,39,29.47,0,1,10.43,43.83
2025-01-01 00:01:00,52,Montese,36,31.29,0,0,1.44,30.3
2025-01-01 00:02:00,93,Messejana,32,24.08,0,1,8.32,28.51
2025-01-01 00:03:00,15,Cocó,27,25.93,0,0,0.71,31.3
2025-01-01 00:04:00,107,Aldeota,42,30.71,0,0,6.84,27.43
2025-01-01 00:05:00,72,Aldeota,31,30.01,0,0,5.3,27.49
2025-01-01 00:06:00,61,Parangaba,40,29.91,0,0,4.81,35.56
2025-01-01 00:07:00,21,Papicu,32,27.68,0,1,3.68,14.5
2025-01-01 00:08:00,103,Aldeota,31,29.03,0,0,6.37,35.01
2025-01-01 00:09:00,83,Fátima,28,31.78,0,0,1.73,23.93
2025-01-01 00:10:00,87,Cocó,38,31.74,0,0,6.03,30.78
2025-01-01 00:11:00,75,Centro,31,26.7,0,0,3.43,34.13
2025-01-01 00:12:00,75,Montese,48,28.28,0,0,3.49,26.29
2025-01-01 00:13:00,88,Fátima,47,30.39,0,0,5.75,42.25
2025-01-01 00:14:00,117,Benfica,36,29.39,0,0,5.3,35.19
2025-01-01 00:15:00,100,Centro,38,27.91,0,0,2.03,31.17
2025-01-01 00:16:00,104,Fátima,33,30.29,0,0,7.64,34.03
2025-01-01 00:17:00,24,Benfica,32,27.14,0,1,8.65,25.86
2025-01-01 00:18:00,3,Messejana,32,29.46,1,0,6.09,41.61
2025-01-01 00:19:00,22,Messejana,36,28.32,0,1,7.81,33.85
2025-01-01 00:20:00,53,Messejana,33,25.73,1,0,9.14,32.03
2025-01-01 00:21:00,2,Parangaba,33,24.2,1,0,6.62,41.38
2025-01-01 00:22:00,88,Cocó,32,34.33,0,0,3.5,55.06
2025-01-01 00:23:00,108,Montese,34,24.32,0,0,3.87,17.48
2025-01-01 00:24:00,30,Parangaba,37,28.23,0,1,6.02,33.51
2025-01-01 00:25:00,38,Aldeota,40,28.47,0,0,0.85,37.33
2025-01-01 00:26:00,2,Aldeota,41,28.35,1,0,4.98,32.59
2025-01-01 00:27:00,64,Aldeota,36,30.65,0,0,12.8,37.3
2025-01-01 00:28:00,60,Cocó,38,26.87,0,0,6.78,35.57
2025-01-01 00:29:00,21,Parangaba,35,27.11,0,0,5.17,41.66
2025-01-01 00:30:00,33,Parangaba,40,28.28,0,0,11.18,42.25
2025-01-01 00:31:00,76,Centro,32,22.98,0,1,5.31,31.82
2025-01-01 00:32:00,58,Parangaba,32,25.03,0,0,4.71,26.82
2025-01-01 00:33:00,22,Benfica,38,31.73,0,0,7.55,23.7
2025-01-01 00:34:00,108,Aldeota,37,26.41,0,0,5.09,43.22
2025-01-01 00:35:00,89,Parangaba,35,22.16,0,0,6.0,37.69
2025-01-01 00:36:00,49,Cocó,47,23.31,0,1,3.84,33.0
2025-01-01 00:37:00,91,Montese,31,25.45,0,0,8.74,28.77
2025-01-01 00:38:00,59,Aldeota,37,26.37,0,0,11.4,39.97
2025-01-01 00:39:00,42,Papicu,28,26.55,0,0,8.07,32.25
2025-01-01 00:40:00,92,Benfica,33,32.15,0,0,6.37,19.42
2025-01-01 00:41:00,60,Papicu,37,28.83,0,0,2.97,29.88
2025-01-01 00:42:00,80,Aldeota,32,31.52,0,0,4.49,26.92
2025-01-01 00:43:00,15,Centro,32,28.93,0,0,12.61,29.23
2025-01-01 00:44:00,62,Cocó,33,29.28,1,0,4.85,28.51
2025-01-01 00:45:00,62,Montese,40,27.06,0,0,4.03,32.36
2025-01-01 00:46:00,47,Montese,37,31.44,0,0,10.48,24.08
2025-01-01 00:47:00,62,Aldeota,29,24.82,0,0,0.23,43.9
2025-01-01 00:48:00,51,Parangaba,40,27.48,0,0,2.45,24.69
2025-01-01 00:49:00,108,Centro,32,24.02,0,0,5.44,24.35
2025-01-01 00:50:00,55,Cocó,34,29.68,0,0,3.11,23.7
2025-01-01 00:51:00,116,Aldeota,43,32.61,0,0,5.81,40.34
2025-01-01 00:52:00,64,Parangaba,23,29.39,0,0,5.55,33.19
2025-01-01 00:53:00,3,Aldeota,33,20.42,0,0,7.07,21.91
2025-01-01 00:54:00,101,Centro,24,34.78,0,1,7.5,36.78
2025-01-01 00:55:00,51,Cocó,29,27.21,0,0,2.85,44.22
2025-01-01 00:56:00,7,Benfica,38,30.01,0,0,9.04,2.28
2025-01-01 00:57:00,21,Aldeota,41,28.19,0,0,10.01,28.24
2025-01-01 00:58:00,73,Parangaba,27,26.19,0,0,4.95,22.93
2025-01-01 00:59:00,39,Meireles,40,24.39,0,0,5.81,21.71
2025-01-01 01:00:00,18,Meireles,30,29.66,0,0,11.15,42.5
2025-01-01 01:01:00,4,Meireles,38,30.86,0,0,7.14,32.83
2025-01-01 01:02:00,89,Parangaba,40,25.99,1,0,8.86,37.98
2025-01-01 01:03:00,60,Centro,32,23.8,0,0,6.54,35.25
2025-01-01 01:04:00,14,Centro,44,27.1,0,0,9.78,36.62
2025-01-01 01:05:00,114,Cocó,38,33.29,0,0,5.74,29.25
2025-01-01 01:06:00,9,Messejana,38,30.46,0,0,7.78,26.73
2025-01-01 01:07:00,90,Meireles,32,27.6,0,0,7.34,31.52
2025-01-01 01:08:00,53,Montese,29,24.56,0,0,11.95,14.46
2025-01-01 01:09:00,2,Messejana,41,28.92,0,0,8.71,24.82
2025-01-01 01:10:00,84,Fátima,40,31.95,0,0,2.81,23.67
2025-01-01 01:11:00,92,Meireles,33,28.53,0,0,2.75,35.38
2025-01-01 01:12:00,111,Montese,43,28.73,0,0,10.45,33.63
2025-01-01 01:13:00,60,Centro,26,30.31,1,0,8.41,23.98
2025-01-01 01:14:00,71,Montese,24,28.04,0,0,1.78,38.09
2025-01-01 01:15:00,44,Messejana,34,26.52,0,0,5.54,23.28
2025-01-01 01:16:00,8,Benfica,35,29.21,0,0,9.76,41.14
2025-01-01 01:17:00,47,Aldeota,30,29.91,1,0,3.81,14.87
2025-01-01 01:18:00,35,Papicu,46,29.58,0,0,11.45,37.16
2025-01-01 01:19:00,78,Meireles,36,24.76,0,0,10.99,21.87
2025-01-01 01:20:00,81,Centro,38,28.48,0,0,4.18,46.69
2025-01-01 01:21:00,36,Cocó,27,22.47,0,0,1.6,35.82
2025-01-01 01:22:00,50,Meireles,29,28.43,0,0,10.33,34.29
2025-01-01 01:23:00,104,Parangaba,30,27.94,0,1,2.32,30.96
2025-01-01 01:24:00,4,Messejana,43,29.2,0,0,5.82,29.78
2025-01-01 01:25:00,2,Centro,30,26.43,0,0,9.82,34.64
2025-01-01 01:26:00,6,Montese,31,29.62,1,0,0.17,40.31
2025-01-01 01:27:00,54,Cocó,34,30.85,1,0,9.45,35.55
2025-01-01 01:28:00,106,Aldeota,36,27.41,0,0,5.7,33.16
2025-01-01 01:29:00,4,Centro,35,23.51,1,0,5.75,42.08
2025-01-01 01:30:00,54,Aldeota,43,29.35,0,0,6.62,33.2
2025-01-01 01:31:00,93,Meireles,38,26.6,0,0,4.0,21.14
2025-01-01 01:32:00,63,Meireles,32,28.93,1,1,5.34,41.16
2025-01-01 01:33:00,18,Papicu,44,28.09,0,0,9.72,19.63
2025-01-01 01:34:00,90,Messejana,42,22.99,0,0,6.03,25.25
2025-01-01 01:35:00,44,Montese,34,28.73,1,0,7.19,30.82
2025-01-01 01:36:00,34,Meireles,33,30.67,0,0,7.17,44.63
2025-01-01 01:37:00,74,Benfica,32,26.39,0,0,10.48,33.4
2025-01-01 01:38:00,62,Parangaba,28,21.75,0,0,5.83,18.23
2025-01-01 01:39:00,100,Papicu,46,29.23,1,0,7.79,34.21
2025-01-01 01:40:00,14,Centro,34,27.25,0,0,7.49,23.89
2025-01-01 01:41:00,95,Parangaba,28,33.46,0,0,9.72,35.89
2025-01-01 01:42:00,48,Cocó,35,24.4,0,0,4.86,31.24
2025-01-01 01:43:00,15,Montese,37,34.12,0,0,2.53,23.22
2025-01-01 01:44:00,72,Centro,42,30.7,1,0,5.04,31.48
2025-01-01 01:45:00,78,Papicu,40,28.0,0,0,4.41,29.95
2025-01-01 01:46:00,87,Aldeota,37,25.79,0,0,5.38,39.82
2025-01-01 01:47:00,62,Parangaba,23,25.7,1,0,4.94,16.97
2025-01-01 01:48:00,40,Parangaba,27,27.73,1,0,1.93,29.68
2025-01-01 01:49:00,85,Papicu,30,31.56,0,0,4.73,23.11
2025-01-01 01:50:00,80,Aldeota,31,24.38,0,0,4.67,36.13
2025-01-01 01:51:00,109,Cocó,36,27.55,0,0,3.72,22.43
